NOME_ARQ,EARM_SE,EARM_S,EARM_NE,EARM_N,EARM_SIN,GT_SE,GT_S,GT_NE,GT_N,GT_SIN,GH_SE,GH_S,GH_NE,GH_N,GH_SIN,CMO_SE,CMO_S,CMO_NE,CMO_N,DEF_SE,DEF_S,DEF_NE,DEF_N
relato_2020_03_rv3,49.3,28.5,73.3,69.0,53.156413443571026,4336.6,1029.3,820.1,667.8,6853.800000000001,35888.3,2295.5,2865.7,17823.9,58873.4,243.28,438.94,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_04_rv0,52.2,17.3,81.7,73.7,56.120158912933825,3560.7,632.0,2029.3,657.6,6879.6,31656.0,1694.2,3292.6,12863.9,49506.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_04_rv1,53.5,16.5,85.5,74.9,57.71574286163184,3457.9,620.0,1027.4,658.5,5763.8,31723.4,1557.0,4032.6,11894.6,49207.6,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_04_rv2,54.7,15.9,88.6,75.9,59.12024477456842,4364.5,413.1,565.0,658.5,6001.1,30644.4,1345.3,3770.4,13846.7,49606.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_04_rv3,55.7,15.4,88.2,77.0,59.77344749623064,3573.5,365.6,365.0,656.7,4960.8,29217.2,1260.7,4504.7,12305.3,47287.899999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_05_rv0,56.6,14.5,90.3,78.6,60.84528557280537,4236.5,399.1,610.2,656.0,5901.8,28249.8,1339.7,3986.9,11490.7,45067.100000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_05_rv1,57.4,13.9,91.2,79.7,61.58294473695604,4009.0,422.1,870.4,658.5,5960.0,28846.6,1199.9,4186.9,11681.2,45914.600000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_05_rv2,57.8,13.2,92.0,80.6,62.00474982182411,2954.0,470.0,1345.0,658.5,5427.5,28776.5,1217.0,3236.5,12446.5,45676.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_05_rv3,58.1,12.7,92.1,81.6,62.25109871115437,3062.4,423.0,1367.4,658.4,5511.2,28049.5,1403.7,3270.3,12884.5,45608.0,27.48,27.48,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_05_rv4,58.2,12.6,91.8,82.5,62.308221450794946,2917.4,415.0,1352.0,658.4,5342.799999999999,28123.699999999997,1134.6,3240.5,13263.1,45761.899999999994,68.56,68.56,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_06_rv0,58.4,12.9,91.7,83.2,62.525140518138556,3084.8,433.0,1522.0,1034.8,6074.6,27235.5,1184.2,3215.0,11480.6,43115.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_06_rv1,58.4,13.7,91.6,83.1,62.5566531814075,4132.9,433.0,274.0,1148.5,5988.4,26345.9,1127.9,3299.9,11846.7,42620.40000000001,166.45,166.45,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_06_rv2,58.2,15.3,90.5,83.6,62.357897212002136,4518.3,951.6,478.5,2085.6,8034.0,26130.899999999998,1430.2,3269.7,11589.9,42420.7,244.7,244.7,130.2,130.2,0.0,0.0,0.0,0.0
relato_2020_06_rv3,57.9,19.1,88.8,83.9,62.12222409358682,3724.8,896.4,1259.0,2487.1,8367.3,26318.5,1798.0,4520.9,8847.7,41485.100000000006,237.75,237.75,152.17,152.17,0.0,0.0,0.0,0.0
relato_2020_07_rv0,57.3,22.6,86.0,83.4,61.4031921324098,2833.5,425.0,579.8,1433.1,5271.4,28505.0,1867.5,7481.0,7432.3,45285.8,201.5,201.5,116.46,117.73,0.0,0.0,0.0,0.0
relato_2020_07_rv1,56.9,27.8,83.3,83.8,61.02082724205622,2707.8,192.1,724.9,2424.9,6049.700000000001,28183.2,3883.2,7433.0,5886.7,45386.1,175.29,175.29,131.86,172.77,0.0,0.0,0.0,0.0
relato_2020_07_rv2,56.2,32.5,80.6,83.6,60.3619749158949,2671.9,152.0,392.7,2250.2,5466.799999999999,28721.2,6750.7,7542.4,5183.6,48197.9,169.38,169.38,140.82,169.11,0.0,0.0,0.0,0.0
relato_2020_07_rv3,55.4,33.3,77.7,83.4,59.331201938407695,2859.8,151.5,411.4,2209.3,5632.0,28766.7,7707.1,7518.6,4576.0,48568.4,196.99,196.99,126.07,196.99,0.0,0.0,0.0,0.0
relato_2020_07_rv4,54.5,31.2,75.0,82.6,58.03572245263907,2659.0,362.9,658.6,2483.9,6164.4,28412.0,7793.6,7218.3,4291.8,47715.700000000004,210.0,210.0,117.26,210.0,0.0,0.0,0.0,0.0
relato_2020_08_rv0,53.3,30.7,73.1,78.5,56.604349840897164,3304.1,759.0,864.7,1540.1,6467.9,29360.0,6225.5,4899.2,5745.5,46230.2,254.23,254.23,85.85,248.89,0.0,0.0,0.0,0.0
relato_2020_08_rv1,52.0,29.9,70.6,76.2,55.07273385715414,3844.3,859.0,867.7,2625.5,8196.5,28697.3,5004.3,6307.5,4021.7,44030.799999999996,280.6,280.6,90.81,280.6,0.0,0.0,0.0,0.0
relato_2020_08_rv2,50.9,30.4,67.8,73.3,53.685120846077005,3071.9,740.3,637.0,2625.0,7074.2,28716.5,7558.2,6606.6,4051.0,46932.299999999996,251.1,251.09,86.57,251.09,0.0,0.0,0.0,0.0
relato_2020_08_rv3,50.2,36.9,65.0,70.4,52.98785243768901,3836.2,152.0,437.0,1975.5,6400.7,30940.700000000004,8520.1,7216.3,3920.5,50597.600000000006,144.08,144.08,81.26,144.08,0.0,0.0,0.0,0.0
relato_2020_09_rv0,49.1,36.1,62.4,65.2,51.42453139320543,3857.1,152.0,190.0,1540.1,5739.200000000001,29615.5,7653.8,6864.3,5074.5,49208.100000000006,150.67,150.67,99.08,150.67,0.0,0.0,0.0,0.0
relato_2020_09_rv1,47.6,35.0,59.3,61.9,49.57267279049572,3979.7,152.0,260.5,2033.4,6425.6,30531.1,7110.8,7145.8,3815.4,48603.100000000006,170.24,170.24,103.33,170.24,0.0,0.0,0.0,0.0
relato_2020_09_rv2,45.8,32.4,55.9,58.0,47.32289601504869,4096.8,342.1,374.0,1703.9,6516.800000000001,32187.199999999997,7453.6,7215.4,3963.6,50819.799999999996,206.38,206.38,153.11,206.38,0.0,0.0,0.0,0.0
relato_2020_09_rv3,43.5,30.8,52.8,54.4,44.85983897487651,4363.7,515.0,632.0,1809.7,7320.4,34605.0,5706.1,6982.7,3561.7,50855.49999999999,234.68,234.68,135.69,234.68,0.0,0.0,0.0,0.0
relato_2020_10_rv0,41.6,30.2,50.5,49.2,42.802948684022205,6306.8,860.0,1941.7,2447.8,11556.3,32951.9,5368.7,5554.6,4580.2,48455.399999999994,361.6,361.6,176.94,361.6,0.0,0.0,0.0,0.0
relato_2020_10_rv1,39.2,29.4,47.8,44.8,40.352478310726795,6518.6,860.0,1797.9,2451.7,11628.2,36240.5,4710.2,6283.3,4084.6,51318.6,539.07,539.07,215.2,539.07,0.0,0.0,0.0,0.0
relato_2020_10_rv2,36.9,29.4,45.2,40.1,38.02849231020578,6728.3,858.4,1695.4,2495.5,11777.6,34875.2,4975.7,5841.4,4262.5,49954.799999999996,596.99,596.99,222.52,596.99,0.0,0.0,0.0,0.0
relato_2020_10_rv3,34.7,29.4,42.8,35.1,35.794069201798365,7794.5,1115.0,2232.3,2778.9,13920.699999999999,34091.4,2532.2,5602.5,4368.5,46594.6,647.23,647.23,240.37,647.23,0.0,0.0,0.0,0.0
relato_2020_10_rv4,32.8,29.4,39.9,32.6,33.81472097316766,7779.6,1116.4,2067.3,2774.6,13737.9,34367.1,2032.7,6962.7,3174.3,46536.799999999996,648.57,648.57,237.15,648.57,0.0,0.0,0.0,0.0
relato_2020_11_rv0,31.4,29.4,38.2,28.3,32.303521735518295,7742.6,1388.8,2217.3,2599.5,13948.2,32477.1,1715.2,6293.8,4045.3,44531.4,671.94,671.94,225.67,671.93,0.0,0.0,0.0,0.0
relato_2020_11_rv1,29.6,29.3,37.1,27.3,30.7861288922792,7830.6,1588.6,1972.3,2676.8,14068.3,32385.399999999998,1775.6,7479.1,3790.7,45430.799999999996,1012.0,1012.0,234.03,1012.0,0.0,0.0,0.0,0.0
relato_2020_11_rv2,28.3,29.3,35.8,25.4,29.543076204254078,7367.6,1531.3,1972.3,2749.7,13620.899999999998,31600.3,4259.5,6621.0,3931.8,46412.600000000006,753.72,753.72,293.94,753.72,0.0,0.0,0.0,0.0
relato_2020_11_rv3,27.0,29.0,33.8,25.0,28.235148557339436,7759.9,1811.1,1967.9,2747.6,14286.5,34002.399999999994,2235.0,7188.6,4527.3,47953.299999999996,1000.77,1000.77,260.01,1000.77,0.0,0.0,0.0,0.0
relato_2020_12_rv0,25.0,29.3,33.8,23.2,26.759198638658493,7782.2,1940.1,4129.9,3107.5,16959.699999999997,35277.0,3629.5,4529.1,5424.3,48859.9,1466.79,1466.79,1462.57,1466.79,0.0,0.0,0.0,0.0
relato_2020_12_rv1,24.6,32.0,31.4,21.7,26.158734988386417,6032.4,1662.5,2052.2,2780.5,12527.599999999999,32570.8,9461.4,8198.9,4897.2,55128.299999999996,487.04,487.04,357.57,487.04,0.0,0.0,0.0,0.0
relato_2020_12_rv2,24.8,30.7,29.1,20.2,25.723715172129047,7180.3,1640.0,2421.9,2670.6,13912.8,31576.6,7842.0,7954.2,4971.4,52344.2,655.01,655.01,655.01,655.01,0.0,0.0,0.0,0.0
relato_2020_12_rv3,25.3,30.6,27.6,19.1,25.74409359428918,5274.8,1187.5,2024.5,2777.2,11264.0,31669.5,7367.3,7994.2,5025.1,52056.1,345.08,345.08,257.71,345.08,0.0,0.0,0.0,0.0
relato_2021_01_rv0,26.6,29.7,29.2,18.9,26.873457024791687,6159.0,1667.0,2343.5,2777.5,12947.0,37598.4,6382.9,3542.7,5610.4,53134.4,497.09,497.09,497.09,497.09,0.0,0.0,0.0,0.0
relato_2021_01_rv1,27.6,29.2,30.5,19.0,27.777359190343187,7438.7,1667.0,2775.4,2675.3,14556.400000000001,37139.700000000004,3839.4,3578.7,5477.8,50035.600000000006,673.99,673.99,673.99,673.99,0.0,0.0,0.0,0.0
relato_2021_01_rv2,28.5,29.2,31.1,17.6,28.443185019534027,7837.3,1909.1,3576.4,2988.1,16310.9,36108.0,4370.8,3360.3,6732.1,50571.200000000004,780.15,780.15,780.15,780.15,0.0,0.0,0.0,0.0
relato_2021_01_rv3,30.3,29.2,31.7,17.9,29.829346622293745,5258.9,1187.0,2179.5,2736.0,11361.4,38992.5,7790.8,3425.8,8244.7,58453.8,541.14,541.14,541.14,541.14,0.0,0.0,0.0,0.0
relato_2021_01_rv4,31.4,36.4,33.0,18.1,31.335290769337586,4177.1,1186.2,1985.3,2380.6,9729.2,39030.3,11337.6,2516.9,7200.1,60084.9,305.63,305.63,305.63,305.63,0.0,0.0,0.0,0.0
relato_2021_02_rv0,31.7,47.5,33.5,17.9,32.40465324258492,3140.9,927.5,1985.3,2092.4,8146.1,40199.7,11036.1,2360.4,9556.8,63153.0,248.86,231.86,248.86,248.86,0.0,0.0,0.0,0.0
relato_2021_02_rv1,33.0,45.0,33.7,18.8,33.22876533375926,4578.4,1192.0,2004.9,2409.3,10184.599999999999,39309.8,12417.0,2362.3,6683.3,60772.40000000001,387.02,365.59,387.02,387.02,0.0,0.0,0.0,0.0
relato_2021_02_rv2,34.8,42.2,34.9,22.7,34.713223521425604,4598.3,1192.0,2005.3,1719.0,9514.6,35716.8,9209.5,2390.3,10010.4,57327.00000000001,371.86,371.86,371.86,371.86,0.0,0.0,0.0,0.0
relato_2021_02_rv3,36.2,38.6,37.5,28.5,36.206253812355676,4189.0,1192.0,1991.5,1891.5,9264.0,35883.5,7679.5,2730.5,14141.1,60434.6,392.67,392.67,392.67,392.67,0.0,0.0,0.0,0.0
