NOME_ARQ,EARM_SE,EARM_S,EARM_NE,EARM_N,EARM_SIN,GT_SE,GT_S,GT_NE,GT_N,GT_SIN,GH_SE,GH_S,GH_NE,GH_N,GH_SIN,CMO_SE,CMO_S,CMO_NE,CMO_N,DEF_SE,DEF_S,DEF_NE,DEF_N
INI,20.4,30.6,37.6,15.0,23.86490425797655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relato_2020_01_rv0,20.8,30.8,37.6,16.5,24.237803092593285,7098.0,1282.6,2239.0,2790.4,13410.0,36560.6,3197.7,2661.5,4455.6,46875.399999999994,695.87,695.87,695.87,695.87,0.0,0.0,0.0,0.0
relato_2020_01_rv1,20.7,30.3,37.7,17.3,24.192963822850196,7040.1,1899.6,3467.7,3011.0,15418.400000000001,40296.5,2962.4,2697.9,4778.2,50735.0,828.61,828.61,828.61,828.61,0.0,0.0,0.0,0.0
relato_2020_01_rv2,22.1,30.5,38.1,18.7,25.3336082694555,6368.5,1177.0,2011.4,2817.3,12374.2,41487.5,2751.3,2453.8,7821.1,54513.700000000004,672.49,672.49,672.49,672.49,0.0,0.0,0.0,0.0
relato_2020_01_rv3,22.8,31.1,39.3,21.0,26.199063590818085,6708.8,1901.1,3398.7,3109.7,15118.3,38091.5,3351.7,2597.5,9937.1,53977.799999999996,836.72,836.72,826.71,826.71,0.0,0.0,0.0,0.0
relato_2020_01_rv4,25.0,30.9,40.9,21.1,28.018824803556104,6802.2,1893.9,2434.4,2680.9,13811.4,36977.4,2531.0,2640.8,11826.3,53975.5,763.95,763.95,763.08,763.08,0.0,0.0,0.0,0.0
relato_2020_02_rv0,27.0,30.8,44.5,23.5,30.183125074124558,5571.2,1178.0,2106.5,2772.2,11627.900000000001,39845.299999999996,3780.9,2788.0,11263.0,57677.2,475.64,475.64,475.56,474.91,0.0,0.0,0.0,0.0
relato_2020_02_rv1,30.4,30.2,49.5,25.7,33.531198110661734,4955.4,1178.0,1968.6,2791.3,10893.3,39595.9,2765.9,3546.0,12642.3,58550.100000000006,335.68,335.79,335.56,329.13,0.0,0.0,0.0,0.0
relato_2020_02_rv2,34.1,29.7,54.5,29.6,37.18490358221423,5623.2,1177.5,2279.7,2727.0,11807.4,37455.5,2663.1,3455.1,14103.6,57677.299999999996,355.6,387.21,346.69,223.51,0.0,0.0,0.0,0.0
relato_2020_02_rv3,37.9,29.4,58.7,37.6,40.993024367857196,5157.5,1272.4,1034.3,1017.2,8481.4,35744.2,2168.7,2481.9,15699.9,56094.7,343.77,488.02,115.9,61.85,0.0,0.0,0.0,0.0
relato_2020_03_rv0,42.1,31.3,62.7,42.2,45.02079970905171,3646.0,685.0,807.7,1580.0,6718.7,40107.799999999996,3051.3,2543.1,16981.0,62683.2,95.22,127.01,95.22,93.91,0.0,0.0,0.0,0.0
relato_2020_03_rv1,45.4,30.7,65.8,48.3,48.16378161278302,3509.2,943.3,1269.9,762.7,6485.099999999999,38148.7,2696.2,3034.6,18189.2,62068.7,211.16,216.8,128.47,59.61,0.0,0.0,0.0,0.0
relato_2020_03_rv2,47.5,29.4,70.7,57.6,50.90132067974099,4264.2,1286.1,894.5,657.4,7102.199999999999,36879.7,2539.8,3397.8,18308.8,61126.100000000006,244.02,464.08,126.41,0.0,0.0,0.0,0.0,0.0
