NOME_ARQ,EARM_SE,EARM_S,EARM_NE,EARM_N,EARM_SIN,GT_SE,GT_S,GT_NE,GT_N,GT_SIN,GH_SE,GH_S,GH_NE,GH_N,GH_SIN,CMO_SE,CMO_S,CMO_NE,CMO_N,DEF_SE,DEF_S,DEF_NE,DEF_N
INI,20.4,30.6,37.6,15.0,23.86490425797655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relato_2020_01_rv0,21.1,31.3,37.6,16.5,24.482600271511593,7534.5,1420.1,3893.8,3108.8,15957.2,34482.9,2790.7,2621.5,4430.3,44325.4,1289.06,1289.06,1289.06,1289.06,0.0,0.0,0.0,0.0
relato_2020_01_rv1,21.0,30.9,37.6,17.4,24.432093205922396,7301.6,1899.6,4192.6,3011.0,16404.800000000003,39275.700000000004,2829.9,2785.8,4765.8,49657.20000000001,1529.52,1529.52,1529.52,1529.52,0.0,0.0,0.0,0.0
relato_2020_01_rv2,22.7,31.4,38.1,18.9,25.826820239192706,6736.7,1900.1,3696.5,3135.7,15469.0,38620.5,2496.1,2530.5,7754.2,51401.299999999996,1212.13,1212.13,1210.16,1210.16,0.0,0.0,0.0,0.0
relato_2020_01_rv3,23.6,32.1,39.2,21.4,26.832244183133913,6970.3,1901.1,4383.6,3109.7,16364.7,36941.1,3290.8,2748.1,9888.2,52868.2,1509.87,1509.87,1458.2,1458.2,0.0,0.0,0.0,0.0
relato_2020_01_rv4,26.1,31.9,40.9,21.6,28.885578034155756,7197.0,1893.9,4026.0,2999.3,16116.2,34831.0,2524.2,2556.7,11755.0,51666.899999999994,1382.43,1382.43,1342.56,1342.56,0.0,0.0,0.0,0.0
relato_2020_02_rv0,28.3,31.7,44.4,24.1,31.171135545238755,6921.8,1901.1,2892.6,2935.2,14650.7,37263.6,3840.3,2634.9,11270.1,55008.9,793.47,793.47,782.63,782.63,0.0,0.0,0.0,0.0
relato_2020_02_rv1,31.7,31.2,49.9,26.3,34.61474966096072,5416.7,1178.0,2021.3,2791.3,11407.3,39910.7,2686.9,2795.2,12643.2,58036.0,361.24,466.8,361.24,358.3,0.0,0.0,0.0,0.0
relato_2020_02_rv2,35.6,30.4,54.8,30.3,38.375853631286844,6944.1,1258.0,2438.6,2726.1,13366.800000000001,35766.1,2932.8,3318.4,14104.5,56121.8,656.04,656.04,567.98,223.51,0.0,0.0,0.0,0.0
relato_2020_02_rv3,39.6,30.0,59.0,39.1,42.359059627941996,6831.3,1248.3,1034.2,1525.1,10638.900000000001,34069.9,2193.2,2482.1,15192.0,53937.2,647.7,650.16,115.9,96.86,0.0,0.0,0.0,0.0
