NOME_ARQ,EARM_SE,EARM_S,EARM_NE,EARM_N,EARM_SIN,GT_SE,GT_S,GT_NE,GT_N,GT_SIN,GH_SE,GH_S,GH_NE,GH_N,GH_SIN,CMO_SE,CMO_S,CMO_NE,CMO_N,DEF_SE,DEF_S,DEF_NE,DEF_N
relato_2020_05_rv4,55.5,24.0,85.6,78.0,59.85772578852705,2917.4,415.0,1352.0,658.4,5342.799999999999,28163.3,1095.1,3238.7,13264.9,45762.0,68.57,68.57,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_06_rv0,55.6,24.3,85.6,78.8,60.023965846185725,3084.8,433.0,1522.0,1034.8,6074.6,27273.9,1145.8,3215.0,11480.6,43115.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_06_rv1,55.6,25.1,85.6,78.5,60.062406792893455,4132.9,433.0,274.0,1148.5,5988.4,26332.9,1141.0,3298.1,11848.4,42620.4,152.09,152.09,0.0,0.0,0.0,0.0,0.0,0.0
relato_2020_06_rv2,55.3,26.7,84.5,79.0,59.793564396171625,4033.0,433.0,274.0,2085.6,6825.6,27076.0,1489.0,3479.3,11584.8,43629.1,180.66,180.66,123.98,123.98,0.0,0.0,0.0,0.0
relato_2020_06_rv3,54.9,30.5,82.6,79.3,59.45240141434002,3239.5,433.0,894.0,2087.5,6654.0,27184.0,1881.2,5287.1,8846.1,43198.4,174.0,174.0,134.7,134.7,0.0,0.0,0.0,0.0
relato_2020_07_rv0,54.4,33.8,80.3,78.9,58.88503538404136,2633.5,425.0,579.8,2097.8,5736.1,28544.9,2027.7,6827.7,7421.0,44821.3,142.62,142.62,123.76,123.76,0.0,0.0,0.0,0.0
relato_2020_07_rv1,53.9,39.3,77.6,79.2,58.44770308366505,2635.5,192.1,690.6,2011.1,5529.299999999999,29080.800000000003,3633.7,7244.7,5947.2,45906.4,132.95,132.95,131.63,131.85,0.0,0.0,0.0,0.0
relato_2020_07_rv2,53.2,44.0,75.0,79.1,57.81188736969759,2671.9,152.0,329.9,1833.9,4987.700000000001,29320.9,6582.1,7322.8,5168.8,48394.600000000006,137.8,137.8,137.8,137.8,0.0,0.0,0.0,0.0
relato_2020_07_rv3,52.2,45.8,72.1,78.9,56.70914445002418,2659.8,151.5,450.3,1992.2,5253.8,30054.0,6094.5,7479.7,4539.3,48167.5,147.94,147.94,137.56,147.94,0.0,0.0,0.0,0.0
relato_2020_07_rv4,51.2,44.2,69.3,78.2,55.36528931435246,2459.0,162.0,658.6,2483.9,5763.5,29419.899999999998,7205.2,7218.3,4265.8,48109.200000000004,155.16,155.16,128.91,155.16,0.0,0.0,0.0,0.0
relato_2020_08_rv0,50.0,42.5,67.7,74.4,53.92112271343294,2834.1,152.0,864.7,2038.7,5889.5,29563.399999999998,7292.7,4402.3,5580.9,46839.3,158.67,158.67,111.27,155.69,0.0,0.0,0.0,0.0
relato_2020_08_rv1,48.7,39.8,65.2,72.3,52.27037573673028,2660.2,152.0,867.7,2450.7,6130.599999999999,29664.299999999996,6869.5,6307.5,3865.5,46706.799999999996,177.66,177.66,121.22,177.66,0.0,0.0,0.0,0.0
relato_2020_08_rv2,47.4,39.9,62.4,69.7,50.73112848026747,2601.9,152.0,637.0,2199.4,5590.3,29813.8,7957.3,6606.6,3942.1,48319.799999999996,159.55,159.55,115.61,159.55,0.0,0.0,0.0,0.0
relato_2020_08_rv3,46.8,45.0,59.8,67.6,50.08636047521462,3477.4,152.0,437.0,1540.1,5606.5,31269.6,9572.5,7216.3,3333.3,51391.700000000004,110.51,110.51,101.89,110.51,0.0,0.0,0.0,0.0
relato_2020_09_rv0,45.5,44.3,58.0,61.9,48.50471421559036,3588.1,152.0,190.0,1540.1,5470.2,31563.1,7522.4,5041.5,5448.6,49575.6,113.92,113.92,113.92,113.92,0.0,0.0,0.0,0.0
relato_2020_09_rv1,43.9,43.0,55.6,58.3,46.67710123883963,3889.2,152.0,260.5,2033.4,6335.1,31424.5,7184.8,6087.8,4103.6,48800.700000000004,123.65,123.65,122.94,123.65,0.0,0.0,0.0,0.0
relato_2020_09_rv2,42.1,39.4,52.6,54.0,44.408604082781544,3376.8,152.0,270.2,1535.8,5334.8,33034.1,8248.6,7076.6,4237.4,52596.7,146.83,146.83,144.65,146.83,0.0,0.0,0.0,0.0
relato_2020_09_rv3,39.9,36.1,49.3,50.0,41.84286714654968,3898.7,152.0,641.1,1543.5,6235.3,34296.7,7292.8,6973.6,3843.1,52406.2,164.94,164.94,151.1,164.94,0.0,0.0,0.0,0.0
relato_2020_10_rv0,38.0,33.5,46.7,44.9,39.60143022038162,4163.5,794.0,1941.7,2447.8,9347.0,33977.5,7070.8,5660.3,4519.1,51227.700000000004,256.7,256.7,184.7,256.7,0.0,0.0,0.0,0.0
